Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31,Layer_32,Layer_33,Layer_34,Layer_35,Layer_36,Layer_37,Layer_38,Layer_39,Layer_40,Layer_41,Layer_42,Layer_43,Layer_44,Layer_45,Layer_46,Layer_47,Layer_48,Layer_49,Layer_50,Layer_51,Optimization Accuracy,Validation Accuracy,Test Accuracy,Non-Zero Weights
"(0.0, 2)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 2)","(0.0, 1)","(0.0, 0)","(0.04, 0)","(0.02, 2)","(0.06, 0)","(0.03, 1)","(0.06, 1)","(0.06, 0)","(0.05, 1)","(0.04, 0)","(0.02, 1)","(0.05, 1)","(0.06, 2)","(0.06, 2)","(0.01, 1)","(0.03, 1)","(0.05, 0)","(0.05, 1)","(0.06, 1)","(0.06, 0)","(0.0, 0)","(0.12, 2)","(0.13, 1)","(0.08, 1)","(0.14, 0)","(0.12, 1)","(0.14, 1)","(0.12, 2)","(0.14, 1)","(0.13, 2)",0.986,0.973,0.9219,9012632
"(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.06, 0)","(0.02, 2)","(0.05, 1)","(0.03, 1)","(0.06, 0)","(0.06, 0)","(0.04, 1)","(0.05, 0)","(0.02, 0)","(0.01, 0)","(0.04, 1)","(0.06, 0)","(0.03, 2)","(0.03, 2)","(0.05, 0)","(0.03, 0)","(0.06, 1)","(0.06, 0)","(0.0, 0)","(0.15, 2)","(0.13, 1)","(0.15, 1)","(0.15, 0)","(0.12, 1)","(0.15, 1)","(0.12, 2)","(0.14, 0)","(0.13, 2)",0.984,0.9735,0.9236,8934171
"(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.06, 0)","(0.02, 1)","(0.05, 1)","(0.03, 1)","(0.06, 0)","(0.06, 0)","(0.04, 1)","(0.05, 0)","(0.02, 0)","(0.01, 1)","(0.04, 1)","(0.06, 0)","(0.03, 2)","(0.03, 2)","(0.05, 0)","(0.03, 0)","(0.06, 1)","(0.06, 0)","(0.0, 0)","(0.15, 2)","(0.13, 1)","(0.15, 1)","(0.15, 0)","(0.12, 1)","(0.15, 1)","(0.15, 2)","(0.14, 0)","(0.13, 2)",0.982,0.9705,0.9208,8916716
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.06, 0)","(0.02, 1)","(0.05, 1)","(0.03, 1)","(0.06, 0)","(0.06, 0)","(0.04, 1)","(0.05, 0)","(0.06, 0)","(0.05, 1)","(0.04, 1)","(0.06, 0)","(0.04, 1)","(0.03, 0)","(0.05, 0)","(0.03, 0)","(0.06, 1)","(0.06, 1)","(0.0, 0)","(0.15, 2)","(0.15, 0)","(0.15, 1)","(0.15, 1)","(0.15, 1)","(0.15, 1)","(0.15, 2)","(0.14, 0)","(0.13, 2)",0.98,0.966,0.9161,8873339
"(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.06, 0)","(0.02, 1)","(0.05, 1)","(0.03, 1)","(0.06, 0)","(0.06, 0)","(0.04, 1)","(0.05, 0)","(0.06, 1)","(0.01, 1)","(0.06, 1)","(0.06, 0)","(0.04, 1)","(0.03, 1)","(0.05, 0)","(0.03, 0)","(0.06, 1)","(0.06, 1)","(0.0, 0)","(0.15, 2)","(0.15, 0)","(0.15, 1)","(0.14, 1)","(0.15, 1)","(0.15, 1)","(0.15, 2)","(0.14, 0)","(0.15, 2)",0.978,0.966,0.9169,8866492
"(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.06, 0)","(0.02, 1)","(0.06, 1)","(0.06, 1)","(0.06, 0)","(0.06, 0)","(0.04, 0)","(0.05, 0)","(0.06, 1)","(0.01, 1)","(0.04, 1)","(0.06, 0)","(0.04, 0)","(0.03, 0)","(0.05, 1)","(0.05, 0)","(0.05, 1)","(0.06, 1)","(0.0, 0)","(0.15, 2)","(0.15, 0)","(0.15, 1)","(0.15, 1)","(0.15, 1)","(0.15, 1)","(0.15, 2)","(0.14, 0)","(0.15, 2)",0.976,0.961,0.9117,8861977
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.06, 0)","(0.02, 1)","(0.06, 1)","(0.03, 1)","(0.06, 0)","(0.06, 0)","(0.04, 0)","(0.05, 0)","(0.06, 0)","(0.05, 1)","(0.06, 1)","(0.06, 0)","(0.04, 1)","(0.03, 0)","(0.05, 0)","(0.05, 0)","(0.06, 1)","(0.06, 1)","(0.0, 0)","(0.15, 2)","(0.15, 1)","(0.15, 1)","(0.15, 1)","(0.15, 1)","(0.15, 1)","(0.15, 2)","(0.14, 1)","(0.13, 2)",0.974,0.963,0.9107,8846613
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.06, 0)","(0.02, 1)","(0.06, 1)","(0.03, 1)","(0.06, 0)","(0.06, 0)","(0.04, 0)","(0.05, 0)","(0.06, 0)","(0.05, 1)","(0.06, 1)","(0.06, 0)","(0.04, 1)","(0.03, 0)","(0.05, 1)","(0.05, 0)","(0.06, 1)","(0.06, 1)","(0.0, 0)","(0.15, 2)","(0.15, 1)","(0.15, 1)","(0.15, 1)","(0.15, 1)","(0.15, 1)","(0.15, 2)","(0.14, 1)","(0.13, 2)",0.97,0.9595,0.9093,8843743
"(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.06, 0)","(0.02, 1)","(0.06, 1)","(0.06, 1)","(0.06, 0)","(0.06, 0)","(0.04, 0)","(0.05, 0)","(0.06, 0)","(0.05, 1)","(0.06, 1)","(0.06, 0)","(0.04, 1)","(0.04, 0)","(0.05, 1)","(0.05, 0)","(0.05, 1)","(0.06, 1)","(0.0, 0)","(0.15, 2)","(0.15, 1)","(0.15, 1)","(0.15, 1)","(0.15, 1)","(0.15, 1)","(0.15, 2)","(0.14, 1)","(0.15, 2)",0.968,0.957,0.9104,8833643
"(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.06, 1)","(0.05, 1)","(0.06, 1)","(0.06, 1)","(0.06, 1)","(0.06, 0)","(0.04, 0)","(0.05, 1)","(0.06, 1)","(0.05, 1)","(0.06, 1)","(0.06, 0)","(0.04, 1)","(0.04, 0)","(0.05, 0)","(0.05, 1)","(0.05, 1)","(0.06, 1)","(0.0, 0)","(0.15, 0)","(0.15, 0)","(0.15, 1)","(0.15, 1)","(0.15, 2)","(0.15, 1)","(0.15, 2)","(0.14, 1)","(0.15, 1)",0.95,0.9365,0.8907,8830784
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.06, 1)","(0.05, 1)","(0.05, 1)","(0.06, 1)","(0.06, 0)","(0.06, 0)","(0.04, 1)","(0.05, 0)","(0.06, 1)","(0.05, 1)","(0.06, 1)","(0.06, 0)","(0.02, 1)","(0.05, 0)","(0.05, 1)","(0.05, 1)","(0.05, 1)","(0.05, 0)","(0.0, 1)","(0.15, 0)","(0.15, 1)","(0.15, 1)","(0.15, 1)","(0.15, 2)","(0.15, 1)","(0.15, 2)","(0.14, 1)","(0.15, 1)",0.948,0.929,0.8869,8826741
"(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.06, 1)","(0.05, 1)","(0.06, 1)","(0.06, 1)","(0.06, 1)","(0.06, 0)","(0.04, 0)","(0.05, 0)","(0.06, 1)","(0.05, 1)","(0.06, 1)","(0.06, 0)","(0.04, 1)","(0.04, 0)","(0.05, 0)","(0.05, 1)","(0.05, 1)","(0.06, 1)","(0.0, 0)","(0.15, 0)","(0.15, 1)","(0.15, 1)","(0.15, 1)","(0.15, 2)","(0.15, 1)","(0.15, 2)","(0.14, 1)","(0.15, 1)",0.946,0.926,0.8846,8821557
"(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.06, 1)","(0.05, 1)","(0.06, 1)","(0.06, 1)","(0.06, 1)","(0.06, 1)","(0.04, 0)","(0.05, 0)","(0.06, 1)","(0.05, 1)","(0.06, 1)","(0.06, 0)","(0.04, 1)","(0.04, 0)","(0.05, 0)","(0.05, 1)","(0.05, 1)","(0.06, 1)","(0.0, 1)","(0.15, 0)","(0.15, 1)","(0.15, 1)","(0.15, 1)","(0.15, 2)","(0.15, 1)","(0.15, 2)","(0.14, 1)","(0.15, 1)",0.944,0.926,0.8847,8818512
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.06, 1)","(0.05, 1)","(0.06, 1)","(0.06, 1)","(0.06, 1)","(0.06, 1)","(0.04, 0)","(0.05, 1)","(0.06, 1)","(0.05, 1)","(0.06, 1)","(0.06, 0)","(0.04, 1)","(0.04, 1)","(0.05, 0)","(0.05, 1)","(0.05, 1)","(0.06, 1)","(0.0, 0)","(0.15, 0)","(0.15, 1)","(0.15, 1)","(0.15, 1)","(0.15, 2)","(0.15, 1)","(0.15, 2)","(0.14, 1)","(0.15, 1)",0.94,0.9245,0.8795,8816142
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 1)","(0.0, 1)","(0.0, 1)","(0.0, 0)","(0.0, 0)","(0.06, 1)","(0.05, 1)","(0.06, 1)","(0.06, 1)","(0.06, 1)","(0.06, 1)","(0.04, 0)","(0.05, 1)","(0.06, 1)","(0.05, 1)","(0.06, 1)","(0.06, 0)","(0.04, 1)","(0.04, 1)","(0.05, 1)","(0.05, 1)","(0.05, 1)","(0.06, 1)","(0.0, 0)","(0.15, 0)","(0.15, 1)","(0.15, 1)","(0.15, 1)","(0.15, 2)","(0.15, 1)","(0.15, 2)","(0.14, 1)","(0.15, 1)",0.934,0.914,0.875,8813272
